time,amplitude
-97.5,964.7
-93.5,1220.86
-89.5,1430.77
-85.5,1329.59
-81.5,1171.36
-77.5,1149.27
-73.5,1023.13
-69.5,522.14
-65.5,-303.21
-61.5,-1090.81
-57.5,-1395.13
-53.5,-1065.71
-49.5,-305.06
-45.5,581.74
-41.5,1230.89
-37.5,1386.63
-33.5,1208.25
-29.5,875.51
-25.5,66.95
-21.5,-1592.23
-17.5,-3880.23
-13.5,-5898.56
-9.5,-6296.57
-5.5,-4134.68
-1.5,-21.09
2.5,4143.86
6.5,6640.44
10.5,6901.11
14.5,5594.37
18.5,4001.28
22.5,2885.77
26.5,2079.24
30.5,1164.18
34.5,7.26
38.5,-1223.25
42.5,-2121.86
46.5,-2380.61
50.5,-2118.81
54.5,-1678.42
58.5,-1355.68
62.5,-1325.21
66.5,-1496.74
70.5,-1658.89
74.5,-1831.07
78.5,-2089.23
82.5,-2249.4
86.5,-2073.56
90.5,-1492.53
94.5,-558.44
98.5,487.03
102.5,1203.5
106.5,1313.57
110.5,1053.57
